日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
2022/11/01,"4,411","4,427","4,378","4,389","4,385.40","4,285.28","4,289.54","4,397.5021","3,703,200","5,278,340.00","5,023,856.00"
2022/10/31,"4,360","4,404","4,360","4,395","4,388.00","4,281.92","4,290.14","4,388.4867","4,057,300","5,556,960.00","5,089,864.00"
2022/10/28,"4,394","4,407","4,333","4,383","4,362.80","4,277.32","4,290.65","4,378.4049","10,551,800","5,330,540.00","5,106,044.00"
2022/10/27,"4,421","4,430","4,348","4,354","4,344.60","4,273.92","4,289.45","4,370.2389","4,787,300","4,054,100.00","4,879,612.00"
2022/10/26,"4,388","4,425","4,388","4,406","4,332.40","4,274.64","4,289.37","4,404.0729","3,292,100","3,983,700.00","4,835,172.00"
2022/10/25,"4,297","4,402","4,275","4,402","4,307.20","4,270.24","4,287.49","4,371.5814","5,096,300","4,016,440.00","4,899,540.00"
2022/10/24,"4,302","4,309","4,258","4,269","4,278.00","4,267.12","4,286.18","4,276.0723","2,925,200","3,912,420.00","4,809,524.00"
2022/10/21,"4,293","4,322","4,289","4,292","4,269.60","4,268.68","4,285.81","4,298.9116","4,169,600","4,247,500.00","4,899,340.00"
2022/10/20,"4,238","4,300","4,238","4,293","4,260.60","4,272.00","4,286.09","4,277.0706","4,435,300","4,709,340.00","4,872,016.00"
2022/10/19,"4,273","4,310","4,245","4,280","4,240.20","4,277.40","4,286.04","4,284.4441","3,455,800","4,638,820.00","4,836,996.00"
2022/10/18,"4,263","4,292","4,242","4,256","4,231.00","4,283.00","4,286.56","4,256.8021","4,576,200","4,842,300.00","5,001,016.00"
2022/10/17,"4,222","4,242","4,217","4,227","4,222.40","4,287.84","4,288.50","4,227.2894","4,600,600","5,091,380.00","5,031,256.00"
2022/10/14,"4,199","4,277","4,188","4,247","4,227.60","4,289.72","4,289.98","4,238.3731","6,478,800","5,020,160.00","5,020,104.00"
