日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
2022/11/01,"2,156","2,165","2,145","2,154","2,141.20","2,006.24","1,990.69","2,153.8197","2,047,500","3,739,900.00","3,383,636.00"
2022/10/31,"2,164","2,171","2,139","2,157","2,132.80","1,993.96","1,987.16","2,157.7202","3,725,200","3,908,720.00","3,440,844.00"
2022/10/28,"2,120","2,127","2,101","2,121","2,124.80","1,983.68","1,984.21","2,119.6001","7,347,700","3,736,780.00","3,370,248.00"
2022/10/27,"2,129","2,140","2,113","2,127","2,118.00","1,975.24","1,981.98","2,127.0743","2,459,000","2,808,620.00","3,178,140.00"
2022/10/26,"2,132","2,166","2,126","2,147","2,108.40","1,968.08","1,979.66","2,150.2317","3,120,100","3,080,060.00","3,178,656.00"
2022/10/25,"2,126","2,140","2,109","2,112","2,090.00","1,959.64","1,976.74","2,117.2363","2,891,600","2,954,740.00","3,165,768.00"
2022/10/24,"2,123","2,134","2,113","2,117","2,076.20","1,954.36","1,974.36","2,121.5589","2,865,500","3,211,460.00","3,143,256.00"
2022/10/21,"2,081","2,089","2,063","2,087","2,047.20","1,948.08","1,971.45","2,081.2576","2,706,900","3,133,560.00","3,184,860.00"
2022/10/20,"2,041","2,079","2,037","2,079","2,031.20","1,945.80","1,968.46","2,068.1020","3,816,200","3,856,000.00","3,156,960.00"
2022/10/19,"2,045","2,069","2,041","2,055","1,996.60","1,944.28","1,965.76","2,055.4487","2,493,500","3,492,500.00","3,085,216.00"
2022/10/18,"2,012","2,066","2,008","2,043","1,972.80","1,942.12","1,963.88","2,040.0076","4,175,200","3,426,660.00","3,149,632.00"
2022/10/17,"1,979","1,994","1,960","1,972","1,950.60","1,939.32","1,962.45","1,972.8856","2,476,000","3,221,540.00","3,087,496.00"
2022/10/14,"1,946","2,021","1,938","2,007","1,950.20","1,937.60","1,961.77","1,991.3507","6,319,100","3,301,120.00","3,086,688.00"
2022/10/13,"1,930","1,937","1,906","1,906","1,944.00","1,934.56","1,960.46","1,911.9112","1,998,700","2,516,800.00","2,898,248.00"
2022/10/12,"1,934","1,953","1,922","1,936","1,955.40","1,936.72","1,960.04","1,937.4394","2,164,300","2,804,080.00","2,863,652.00"
2022/10/11,"1,946","1,958","1,924","1,932","1,955.80","1,937.56","1,959.09","1,937.0650","3,149,600","3,013,540.00","2,850,836.00"
2022/10/07,"1,966","1,984","1,951","1,970","1,945.00","1,938.84","1,958.40","1,967.1670","2,873,900","2,965,300.00","2,838,756.00"
2022/10/06,"1,951","1,983","1,951","1,976","1,924.20","1,939.00","1,956.76","1,973.9036","2,397,500","3,596,760.00","2,909,408.00"
2022/10/05,"1,951","1,966","1,940","1,963","1,905.40","1,939.08","1,955.00","1,957.0461","3,435,100","3,806,380.00","2,899,356.00"
2022/10/04,"1,913","1,938","1,889","1,938","1,884.60","1,937.52","1,953.54","1,929.0966","3,211,600","3,885,320.00","2,882,180.00"
2022/10/03,"1,847","1,878","1,820","1,878","1,871.40","1,939.64","1,952.49","1,861.3524","2,908,400","3,783,340.00","2,828,672.00"
2022/09/30,"1,876","1,903","1,853","1,866","1,865.20","1,944.28","1,952.10","1,867.1469","6,031,200","3,897,200.00","2,765,568.00"
2022/09/29,"1,874","1,884","1,850","1,882","1,872.00","1,948.92","1,952.45","1,874.2449","3,445,600","3,083,020.00","2,620,968.00"
2022/09/28,"1,862","1,887","1,830","1,859","1,877.60","1,953.72","1,953.34","1,854.1751","3,829,800","2,902,900.00","2,575,796.00"
2022/09/27,"1,869","1,881","1,860","1,872","1,895.40","1,961.64","1,954.96","1,872.8614","2,701,700","2,631,320.00","2,523,216.00"
2022/09/26,"1,879","1,881","1,841","1,847","1,908.20","1,970.16","1,956.18","1,855.4727","3,477,700","2,650,560.00","2,566,708.00"
2022/09/22,"1,897","1,906","1,885","1,900","1,934.80","1,980.08","1,957.81","1,897.9210","1,960,300","2,420,780.00","2,534,112.00"
2022/09/21,"1,925","1,937","1,904","1,910","1,946.80","1,988.20","1,959.41","1,914.6580","2,545,000","2,809,840.00","2,611,836.00"
2022/09/20,"1,962","1,969","1,934","1,948","1,970.80","1,995.00","1,961.14","1,950.2756","2,471,900","2,702,720.00","2,619,564.00"
2022/09/16,"1,961","1,966","1,936","1,936","1,989.40","1,998.44","1,961.80","1,939.6790","2,797,900","2,612,860.00","2,599,632.00"
2022/09/15,"1,968","1,996","1,959","1,980","2,002.40","2,003.40","1,963.05","1,980.8904","2,328,800","2,874,060.00","2,715,392.00"
2022/09/14,"1,966","1,985","1,955","1,960","2,001.00","2,005.28","1,963.64","1,964.7571","3,905,600","2,932,660.00","2,771,764.00"
2022/09/13,"2,044","2,046","2,027","2,030","1,994.80","2,008.48","1,964.66","2,034.5643","2,009,400","2,642,700.00","2,728,556.00"
2022/09/12,"2,025","2,041","2,020","2,041","1,975.00","2,007.32","1,964.29","2,034.1976","2,022,600","2,562,440.00","2,813,848.00"
2022/09/09,"2,006","2,006","1,975","2,001","1,958.80","2,007.08","1,963.58","2,000.4838","4,103,900","2,384,680.00","2,839,104.00"
2022/09/08,"1,953","1,980","1,949","1,973","1,950.00","2,007.84","1,963.46","1,971.2550","2,621,800","1,932,680.00","2,759,268.00"
2022/09/07,"1,925","1,940","1,911","1,929","1,948.20","2,009.20","1,964.18","1,926.0796","2,455,800","1,977,840.00","2,727,792.00"
2022/09/06,"1,954","1,956","1,929","1,931","1,957.20","2,011.64","1,965.73","1,936.6585","1,608,100","2,414,720.00","2,704,636.00"
2022/09/05,"1,947","1,965","1,945","1,960","1,966.60","2,015.16","1,966.78","1,957.7998","1,133,800","2,522,340.00","2,742,604.00"
2022/09/02,"1,961","1,966","1,942","1,957","1,959.40","2,016.84","1,966.94","1,955.2996","1,843,900","2,896,720.00","2,799,888.00"
2022/09/01,"1,981","1,983","1,951","1,964","1,966.20","2,018.44","1,968.33","1,965.1930","2,847,600","2,902,720.00","2,809,780.00"
2022/08/31,"1,950","1,981","1,950","1,974","1,972.20","2,019.44","1,968.48","1,971.4965","4,640,200","2,599,360.00","2,775,528.00"
2022/08/30,"1,940","1,985","1,934","1,978","1,973.80","2,020.24","1,969.01","1,972.2382","2,146,200","2,154,560.00","2,652,292.00"
2022/08/29,"1,951","1,961","1,924","1,924","1,978.60","2,020.68","1,967.89","1,932.7967","3,005,700","2,188,580.00","2,644,712.00"
2022/08/26,"1,995","2,007","1,989","1,991","2,005.20","2,023.56","1,969.57","1,994.2264","1,873,900","2,090,500.00","2,611,072.00"
2022/08/25,"1,996","2,001","1,989","1,994","2,024.00","2,023.12","1,973.34","1,994.1338","1,330,800","2,473,520.00","2,638,216.00"
2022/08/24,"2,004","2,011","1,978","1,982","2,044.20","2,020.92","1,976.96","1,987.7798","2,416,200","2,739,920.00","2,696,576.00"
2022/08/23,"2,044","2,052","2,002","2,002","2,068.40","2,017.04","1,983.06","2,013.5248","2,316,300","3,037,360.00","2,692,024.00"
2022/08/22,"2,059","2,067","2,034","2,057","2,084.00","2,011.60","1,989.17","2,052.2947","2,515,300","3,121,740.00","2,673,676.00"
2022/08/19,"2,117","2,131","2,082","2,085","2,079.40","2,004.04","1,994.16","2,101.2688","3,789,000","3,013,400.00","2,673,696.00"
2022/08/18,"2,068","2,103","2,062","2,095","2,074.40","1,995.68","1,998.40","2,088.6938","2,662,800","3,393,980.00","2,608,984.00"
2022/08/17,"2,072","2,114","2,061","2,103","2,060.80","1,987.44","2,002.18","2,101.6590","3,903,400","3,609,040.00","2,633,912.00"
2022/08/16,"2,050","2,092","2,040","2,080","2,048.20","1,980.76","2,005.94","2,079.5598","2,738,200","3,393,440.00","2,619,208.00"
2022/08/15,"2,048","2,053","2,028","2,034","2,032.40","1,975.72","2,009.50","2,036.7150","1,973,600","3,674,140.00","2,679,976.00"
2022/08/12,"2,098","2,098","2,025","2,060","2,032.60","1,972.48","2,013.97","2,066.7361","5,691,900","3,810,220.00","2,715,096.00"
2022/08/10,"2,031","2,045","2,017","2,027","2,024.60","1,967.20","2,018.18","2,029.7668","3,738,100","3,093,440.00","2,598,684.00"
2022/08/09,"2,020","2,053","2,005","2,040","2,020.60","1,963.44","2,022.78","2,037.0493","2,825,400","2,712,800.00","2,533,036.00"
2022/08/08,"2,043","2,047","1,980","2,001","2,010.60","1,957.80","2,027.64","2,010.1897","4,141,700","2,523,100.00","2,507,528.00"
2022/08/05,"2,021","2,040","2,010","2,035","2,014.20","1,952.28","2,033.12","2,027.4159","2,654,000","2,206,220.00","2,453,784.00"
