日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
2022/11/01,"4,098","4,128","4,049","4,062","4,080.00","3,988.96","3,875.88","4,075.4236","4,596,200","6,639,460.00","5,939,724.00"
2022/10/31,"4,064","4,113","4,064","4,094","4,082.20","3,982.00","3,873.93","4,093.1093","4,952,100","6,515,660.00","6,037,500.00"
2022/10/28,"4,057","4,105","4,042","4,088","4,061.80","3,972.92","3,871.53","4,083.9607","13,875,400","6,347,800.00","6,008,300.00"
2022/10/27,"4,082","4,088","4,036","4,050","4,051.00","3,964.20","3,868.09","4,058.1937","5,407,200","4,524,000.00","5,663,340.00"
2022/10/26,"4,083","4,126","4,081","4,106","4,059.60","3,958.80","3,865.38","4,105.6925","4,366,400","4,966,560.00","5,669,708.00"
2022/10/25,"4,026","4,084","4,004","4,073","4,043.20","3,948.36","3,861.65","4,061.3924","3,977,200","5,081,940.00","5,731,024.00"
2022/10/24,"4,034","4,064","3,992","3,992","4,031.60","3,939.96","3,859.30","4,013.2822","4,112,800","5,285,440.00","5,736,072.00"
2022/10/21,"4,105","4,128","4,033","4,034","4,027.40","3,935.36","3,858.25","4,061.7671","4,756,400","5,390,380.00","5,804,572.00"
2022/10/20,"4,029","4,098","4,020","4,093","4,014.40","3,931.48","3,856.26","4,067.5496","7,620,000","5,582,640.00","5,799,772.00"
2022/10/19,"4,022","4,048","4,004","4,024","3,978.00","3,926.24","3,853.64","4,028.3898","4,943,300","5,217,580.00","5,640,692.00"
2022/10/18,"4,015","4,016","3,977","4,015","3,963.40","3,923.56","3,852.28","4,003.5410","4,994,700","5,658,360.00","5,738,148.00"
2022/10/17,"3,989","3,998","3,956","3,971","3,960.40","3,920.08","3,851.64","3,975.6943","4,637,500","6,101,300.00","5,963,096.00"
2022/10/14,"3,942","4,005","3,942","3,969","3,959.80","3,911.84","3,850.53","3,975.6134","5,717,700","6,127,980.00","6,008,944.00"
2022/10/13,"3,916","3,938","3,895","3,911","3,963.40","3,902.16","3,850.26","3,914.0909","5,794,700","6,147,080.00","5,936,696.00"
2022/10/12,"3,979","4,018","3,951","3,951","3,976.80","3,895.64","3,851.26","3,975.6416","7,147,200","6,250,200.00","5,827,216.00"
2022/10/11,"3,954","4,013","3,950","4,000","3,980.20","3,888.40","3,851.04","3,993.3672","7,209,400","6,100,860.00","5,729,020.00"
2022/10/07,"3,945","3,980","3,940","3,968","3,947.60","3,878.08","3,848.82","3,962.7648","4,770,900","5,598,960.00","5,629,320.00"
2022/10/06,"3,994","4,011","3,977","3,987","3,935.20","3,870.12","3,846.97","3,994.1323","5,813,200","6,222,700.00","5,805,428.00"
2022/10/05,"3,984","4,019","3,967","3,978","3,922.60","3,863.08","3,844.62","3,985.1179","6,310,300","6,463,500.00","5,917,708.00"
2022/10/04,"3,891","3,970","3,864","3,968","3,896.40","3,854.08","3,843.12","3,937.7460","6,400,500","6,619,560.00","5,854,868.00"
2022/10/03,"3,881","3,891","3,821","3,837","3,878.00","3,845.96","3,841.20","3,841.8056","4,699,900","6,218,000.00","5,798,796.00"
2022/09/30,"3,928","3,953","3,904","3,906","3,888.20","3,843.76","3,841.65","3,920.3425","7,889,600","6,686,140.00","5,746,780.00"
2022/09/29,"3,801","3,929","3,794","3,924","3,880.40","3,838.84","3,842.12","3,888.7614","7,017,200","5,952,640.00","5,586,264.00"
2022/09/28,"3,806","3,851","3,791","3,847","3,869.60","3,833.60","3,842.34","3,828.3645","7,090,600","5,599,480.00","5,474,192.00"
2022/09/27,"3,855","3,903","3,845","3,876","3,883.20","3,831.32","3,843.36","3,878.3102","4,392,700","5,294,640.00","5,368,264.00"
2022/09/26,"3,898","3,922","3,875","3,888","3,877.00","3,826.72","3,844.37","3,895.5972","7,040,600","5,595,960.00","5,333,716.00"
2022/09/22,"3,860","3,875","3,837","3,867","3,872.00","3,820.72","3,844.84","3,863.0860","4,222,100","5,008,520.00","5,225,740.00"
2022/09/21,"3,936","3,936","3,864","3,870","3,874.00","3,815.28","3,845.64","3,885.0723","5,251,400","5,329,160.00","5,272,716.00"
2022/09/20,"3,892","3,929","3,882","3,915","3,887.40","3,807.92","3,846.13","3,910.9462","5,566,400","5,206,160.00","5,188,976.00"
2022/09/16,"3,853","3,860","3,827","3,845","3,896.80","3,800.00","3,846.46","3,845.9818","5,899,300","4,821,480.00","5,141,648.00"
2022/09/15,"3,852","3,872","3,843","3,863","3,919.20","3,794.12","3,848.26","3,858.7795","4,103,400","5,117,560.00","5,234,132.00"
2022/09/14,"3,921","3,922","3,872","3,877","3,932.20","3,789.36","3,848.90","3,884.7296","5,825,300","6,420,560.00","5,218,812.00"
2022/09/13,"3,930","3,951","3,910","3,937","3,909.80","3,783.08","3,850.40","3,934.8983","4,636,400","6,412,240.00","5,206,828.00"
2022/09/12,"3,956","3,988","3,952","3,962","3,867.80","3,777.24","3,851.18","3,964.1582","3,643,000","6,267,260.00","5,176,524.00"
2022/09/09,"3,947","3,957","3,905","3,957","3,825.00","3,770.12","3,851.92","3,942.9563","7,379,700","6,150,200.00","5,159,916.00"
2022/09/08,"3,860","3,935","3,849","3,928","3,787.60","3,761.72","3,852.00","3,906.9756","10,618,400","5,612,720.00","5,025,540.00"
2022/09/07,"3,778","3,785","3,737","3,765","3,750.40","3,754.48","3,851.92","3,765.7404","5,783,700","4,432,420.00","4,740,436.00"
2022/09/06,"3,712","3,732","3,711","3,727","3,751.20","3,753.76","3,853.86","3,721.5756","3,911,500","5,110,400.00","4,698,296.00"
2022/09/05,"3,771","3,773","3,741","3,748","3,768.00","3,756.72","3,855.97","3,751.0843","3,057,700","6,052,140.00","4,720,236.00"
2022/09/02,"3,773","3,783","3,740","3,770","3,769.00","3,759.08","3,857.77","3,761.5753","4,692,300","6,388,460.00","4,835,452.00"
2022/09/01,"3,736","3,759","3,727","3,742","3,768.00","3,763.68","3,859.32","3,743.0194","4,716,900","6,449,740.00","4,827,200.00"
2022/08/31,"3,766","3,801","3,764","3,769","3,776.00","3,769.12","3,859.98","3,770.4621","9,173,600","6,186,260.00","4,783,096.00"
2022/08/30,"3,768","3,824","3,759","3,811","3,778.80","3,773.28","3,860.48","3,806.5714","8,620,200","5,126,880.00","4,554,948.00"
2022/08/29,"3,764","3,765","3,723","3,753","3,775.20","3,776.32","3,860.09","3,744.4977","4,739,300","4,245,920.00","4,354,660.00"
2022/08/26,"3,765","3,790","3,746","3,765","3,782.60","3,782.84","3,860.22","3,766.5459","4,998,700","4,186,540.00","4,313,924.00"
2022/08/25,"3,785","3,802","3,772","3,782","3,781.80","3,788.48","3,861.24","3,783.7838","3,399,500","3,892,600.00","4,293,072.00"
2022/08/24,"3,778","3,788","3,765","3,783","3,773.00","3,793.04","3,862.16","3,777.4199","3,876,700","4,080,940.00","4,327,088.00"
2022/08/23,"3,795","3,800","3,767","3,793","3,762.60","3,796.68","3,862.94","3,787.6746","4,215,400","4,384,900.00","4,348,484.00"
2022/08/22,"3,769","3,790","3,741","3,790","3,741.20","3,801.56","3,863.81","3,773.0785","4,442,400","4,173,400.00","4,321,988.00"
2022/08/19,"3,728","3,763","3,728","3,761","3,726.60","3,806.16","3,864.42","3,747.8957","3,529,000","4,161,560.00","4,302,248.00"
2022/08/18,"3,767","3,768","3,721","3,738","3,714.00","3,811.96","3,865.57","3,740.1527","4,341,200","5,098,040.00","4,323,920.00"
2022/08/17,"3,675","3,743","3,674","3,731","3,715.20","3,819.08","3,865.74","3,720.0250","5,396,500","4,973,880.00","4,341,632.00"
2022/08/16,"3,697","3,715","3,686","3,686","3,713.00","3,826.40","3,866.17","3,693.0772","3,157,900","4,999,720.00","4,287,620.00"
2022/08/15,"3,691","3,729","3,684","3,717","3,734.00","3,832.16","3,867.54","3,709.0400","4,383,200","5,143,900.00","4,408,092.00"
2022/08/12,"3,758","3,778","3,696","3,698","3,747.40","3,837.36","3,868.28","3,722.5360","8,211,400","4,912,820.00","4,412,900.00"
2022/08/10,"3,730","3,770","3,713","3,744","3,757.20","3,842.48","3,869.32","3,739.2463","3,720,400","4,074,600.00","4,310,052.00"
2022/08/09,"3,817","3,817","3,720","3,720","3,757.80","3,848.60","3,869.96","3,743.9164","5,525,700","4,028,680.00","4,346,396.00"
2022/08/08,"3,765","3,823","3,755","3,791","3,763.20","3,856.32","3,870.74","3,783.7307","3,878,800","3,869,580.00","4,260,756.00"
2022/08/05,"3,733","3,789","3,732","3,784","3,765.20","3,860.08","3,870.08","3,775.7834","3,227,800","3,985,820.00","4,296,128.00"
2022/08/04,"3,769","3,775","3,733","3,747","3,769.80","3,864.56","3,869.64","3,747.3793","4,020,300","4,527,880.00","4,422,528.00"
2022/08/03,"3,765","3,778","3,726","3,747","3,797.40","3,871.56","3,869.98","3,751.1714","3,490,800","4,621,020.00","4,963,096.00"
2022/08/02,"3,774","3,795","3,743","3,747","3,823.60","3,880.36","3,869.89","3,756.8192","4,730,200","4,645,720.00","5,098,384.00"
2022/08/01,"3,800","3,808","3,772","3,801","3,848.80","3,886.00","3,870.00","3,795.6661","4,460,000","4,393,660.00","5,171,296.00"
