日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
2022/11/01,384.6,397.7,383.7,397.6,386.74,388.32,415.52,392.5801,"24,564,500","33,598,400.00","19,573,000.00"
2022/10/31,381,385.9,380,384.6,384.64,387.97,415.85,383.5341,"25,706,800","31,246,040.00","19,356,836.00"
2022/10/28,377.1,378.4,370.7,375,384.92,388.51,416.55,374.1080,"74,313,100","29,432,660.00","18,781,668.00"
2022/10/27,378.6,385.7,374.6,383,386.00,389.51,417.36,381.6057,"25,951,900","17,538,200.00","16,406,060.00"
2022/10/26,391,396.5,389.7,393.5,386.20,390.43,418.04,393.6767,"17,455,700","15,811,320.00","15,845,584.00"
2022/10/25,385.3,390.4,384.9,387.1,385.46,391.09,418.35,388.0560,"12,802,700","15,400,100.00","15,883,852.00"
2022/10/24,383.9,390.5,382.3,386,386.64,392.38,418.62,386.5937,"16,639,900","16,411,420.00","15,903,536.00"
2022/10/21,384,384.2,380.3,380.4,386.40,393.50,418.88,381.6509,"14,840,800","15,327,400.00","15,836,440.00"
2022/10/20,385,386.7,382.4,384,387.70,395.19,419.08,383.9060,"17,317,500","16,017,600.00","15,861,752.00"
2022/10/19,393,396.3,388.6,389.8,386.36,396.44,419.25,390.5690,"15,399,600","15,162,860.00","15,655,524.00"
2022/10/18,392,393,385.9,393,385.30,397.25,419.47,390.7405,"17,859,300","14,926,280.00","15,611,608.00"
2022/10/17,382,385.2,381.9,384.8,383.90,398.00,419.65,383.9486,"11,219,800","15,613,000.00","15,581,124.00"
2022/10/14,382.5,388,380.9,386.9,386.70,398.74,420.08,385.8344,"18,291,800","15,438,360.00","15,818,544.00"
2022/10/13,385.7,386.2,377.3,377.3,389.96,399.60,420.46,379.7675,"13,043,800","14,114,300.00","15,437,280.00"
2022/10/12,384.6,387.7,383.2,384.5,395.04,401.02,420.81,384.9244,"14,216,700","14,809,180.00","15,357,332.00"
2022/10/11,390,390.6,384.4,386,397.80,401.93,421.00,386.5167,"21,292,900","15,746,680.00","15,393,980.00"
2022/10/07,397,401.6,394.2,398.8,397.18,402.87,421.14,398.3919,"10,346,600","14,616,520.00","15,156,940.00"
2022/10/06,401.3,407.4,400.8,403.2,393.46,403.52,420.94,404.3419,"11,671,500","16,847,300.00","15,331,320.00"
2022/10/05,403.2,407.4,400,402.7,390.22,404.05,420.59,402.8958,"16,518,200","18,970,400.00","15,702,248.00"
2022/10/04,388,398.3,387,398.3,387.14,404.45,420.42,395.4651,"18,904,200","19,163,400.00","15,952,680.00"
2022/10/03,376.6,385.2,372.4,382.9,386.30,405.31,420.40,380.2273,"15,642,100","18,193,540.00","15,806,856.00"
2022/09/30,380,384.5,377.6,380.2,387.50,406.91,420.70,380.4029,"21,500,500","18,897,200.00","15,566,320.00"
2022/09/29,387.6,390.8,384,387,391.10,408.62,421.12,387.0410,"22,287,000","16,862,620.00","15,022,816.00"
2022/09/28,386.1,393.9,383.7,387.3,393.68,410.02,421.70,387.0145,"17,483,200","15,389,800.00","14,624,224.00"
2022/09/27,389,395.8,389,394.1,397.42,411.70,422.41,393.1729,"14,054,900","14,281,160.00","14,362,304.00"
2022/09/26,394.4,395.3,387.6,388.9,400.62,413.18,423.02,389.8268,"19,160,400","15,152,660.00","14,699,884.00"
2022/09/22,395.1,399.8,394.5,398.2,406.68,415.24,423.63,397.2193,"11,327,600","13,979,540.00","14,599,196.00"
2022/09/21,401.1,404.4,399,399.9,409.88,417.26,424.13,400.5109,"14,922,900","14,706,520.00","14,995,444.00"
2022/09/20,410.5,411.1,404.3,406,414.40,419.32,424.71,406.6037,"11,940,000","14,816,660.00","15,113,232.00"
2022/09/16,415.6,417.7,408.7,410.1,416.28,420.58,424.93,410.6587,"18,412,400","14,861,020.00","15,225,860.00"
2022/09/15,420,423.9,416.3,419.2,416.26,421.62,425.12,420.0938,"13,294,800","14,038,880.00","15,337,596.00"
