日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
2022/11/01,"6,440","6,665","6,431","6,574","6,223.60","5,588.20","5,555.57","6,560.9258","29,746,900","27,991,280.00","19,945,648.00"
2022/10/31,"6,190","6,422","6,162","6,400","6,098.60","5,527.88","5,537.42","6,332.0041","29,046,000","27,313,600.00","19,288,336.00"
2022/10/28,"6,020","6,135","6,004","6,026","5,965.20","5,485.60","5,524.70","6,051.5787","36,559,600","26,529,060.00","18,616,752.00"
2022/10/27,"6,001","6,169","5,982","6,087","5,911.60","5,462.68","5,516.36","6,095.6040","20,797,300","22,869,500.00","17,525,604.00"
2022/10/26,"6,000","6,067","5,943","6,031","5,850.20","5,439.88","5,507.04","6,022.8375","23,806,600","22,826,860.00","17,097,912.00"
2022/10/25,"5,670","5,993","5,634","5,949","5,792.60","5,416.96","5,497.86","5,862.6735","26,358,500","22,588,700.00","16,676,524.00"
2022/10/24,"5,834","5,993","5,723","5,733","5,710.20","5,396.52","5,490.25","5,854.8698","25,123,300","21,710,680.00","16,080,436.00"
2022/10/21,"5,750","5,831","5,698","5,758","5,673.40","5,383.40","5,484.25","5,766.0766","18,261,800","19,525,080.00","15,688,944.00"
2022/10/20,"5,681","5,813","5,627","5,780","5,651.80","5,379.24","5,475.89","5,716.7585","20,584,100","20,003,040.00","15,289,240.00"
2022/10/19,"5,566","5,770","5,541","5,743","5,589.60","5,373.52","5,468.62","5,697.4860","22,615,800","18,289,120.00","14,892,192.00"
2022/10/18,"5,652","5,665","5,430","5,537","5,541.00","5,363.80","5,463.05","5,528.9292","21,968,400","17,256,200.00","14,531,960.00"
2022/10/17,"5,591","5,627","5,502","5,549","5,523.80","5,362.28","5,461.41","5,559.1099","14,195,300","16,192,880.00","14,107,024.00"
2022/10/14,"5,555","5,737","5,550","5,650","5,514.80","5,355.04","5,459.66","5,667.5705","20,651,600","16,714,340.00","13,992,560.00"
2022/10/13,"5,504","5,518","5,453","5,469","5,483.60","5,348.20","5,453.98","5,479.8600","12,014,500","16,140,500.00","13,490,192.00"
2022/10/12,"5,415","5,581","5,408","5,500","5,460.80","5,349.32","5,449.10","5,508.0916","17,451,200","17,338,700.00","13,304,276.00"
2022/10/11,"5,390","5,527","5,381","5,451","5,407.80","5,349.04","5,442.77","5,466.7035","16,651,800","17,512,900.00","12,970,652.00"
2022/10/07,"5,383","5,554","5,347","5,504","5,313.80","5,351.40","5,437.76","5,491.4190","16,802,600","17,768,320.00","12,839,116.00"
2022/10/06,"5,356","5,532","5,329","5,494","5,193.00","5,353.72","5,430.14","5,470.7126","17,782,400","17,587,320.00","12,636,732.00"
2022/10/05,"5,280","5,372","5,231","5,355","5,100.40","5,357.48","5,420.73","5,315.0128","18,005,500","16,550,000.00","12,451,764.00"
2022/10/04,"5,051","5,259","5,031","5,235","5,017.00","5,363.12","5,416.00","5,179.3341","18,322,200","15,978,140.00","12,311,628.00"
2022/10/03,"4,856","5,004","4,788","4,981","4,976.00","5,381.92","5,413.24","4,908.2471","17,928,900","14,379,160.00","12,053,876.00"
2022/09/30,"4,931","4,980","4,877","4,900","4,993.00","5,408.20","5,413.93","4,916.3432","15,897,600","13,456,200.00","11,650,224.00"
2022/09/29,"5,056","5,058","4,960","5,031","5,081.60","5,436.84","5,417.46","5,018.9500","12,595,800","12,727,960.00","11,388,500.00"
2022/09/28,"5,004","5,057","4,881","4,938","5,166.00","5,459.60","5,424.32","4,946.6181","15,146,200","12,064,980.00","11,387,988.00"
2022/09/27,"5,111","5,112","5,020","5,030","5,281.80","5,491.64","5,433.93","5,051.8373","10,327,300","11,056,740.00","11,135,324.00"
2022/09/26,"5,201","5,217","5,049","5,066","5,367.40","5,521.00","5,441.04","5,107.6546","13,314,100","11,645,660.00","11,188,936.00"
2022/09/22,"5,399","5,409","5,281","5,343","5,441.80","5,550.96","5,445.89","5,343.1169","12,256,400","11,274,100.00","11,103,664.00"
2022/09/21,"5,466","5,500","5,434","5,453","5,454.20","5,569.32","5,446.53","5,461.7616","9,280,900","11,890,020.00","11,224,940.00"
2022/09/20,"5,501","5,562","5,486","5,517","5,494.40","5,581.16","5,446.06","5,523.7032","10,105,000","11,687,680.00","11,722,928.00"
2022/09/16,"5,413","5,474","5,396","5,458","5,518.40","5,596.48","5,443.20","5,447.1635","13,271,900","11,798,260.00","12,321,088.00"
2022/09/15,"5,432","5,479","5,368","5,438","5,526.80","5,602.56","5,441.09","5,433.9621","11,456,300","11,865,880.00","13,009,088.00"
2022/09/14,"5,446","5,462","5,401","5,405","5,539.00","5,597.64","5,440.30","5,427.2158","15,336,000","11,843,620.00","13,217,932.00"
2022/09/13,"5,652","5,698","5,628","5,654","5,531.60","5,593.24","5,439.68","5,665.3567","8,269,200","11,043,160.00","13,859,132.00"
2022/09/12,"5,556","5,661","5,549","5,637","5,496.60","5,594.88","5,435.50","5,621.7981","10,657,900","11,007,800.00","13,975,980.00"
2022/09/09,"5,510","5,535","5,428","5,500","5,468.60","5,595.52","5,429.20","5,484.4127","13,610,000","10,349,540.00","13,963,256.00"
2022/09/08,"5,451","5,504","5,416","5,499","5,467.20","5,601.12","5,423.89","5,472.0131","11,345,000","9,449,660.00","13,850,872.00"
2022/09/07,"5,462","5,471","5,321","5,368","5,469.40","5,601.00","5,419.78","5,366.5716","11,333,700","9,853,340.00","13,797,908.00"
2022/09/06,"5,500","5,558","5,475","5,479","5,508.20","5,604.28","5,418.56","5,511.8993","8,092,400","9,935,200.00","13,790,908.00"
2022/09/05,"5,493","5,523","5,462","5,497","5,530.00","5,605.28","5,415.26","5,496.3546","7,366,600","10,948,360.00","14,002,624.00"
2022/09/02,"5,530","5,543","5,469","5,493","5,529.80","5,609.60","5,409.37","5,499.2105","9,110,600","12,375,460.00","14,215,048.00"
2022/09/01,"5,523","5,531","5,427","5,510","5,572.20","5,616.12","5,404.62","5,485.2759","13,363,400","12,929,020.00","14,355,372.00"
2022/08/31,"5,520","5,614","5,514","5,562","5,597.80","5,623.24","5,399.45","5,568.1693","11,743,000","11,823,860.00","14,259,980.00"
2022/08/30,"5,552","5,594","5,532","5,588","5,608.60","5,628.00","5,393.42","5,569.1237","13,158,200","11,346,160.00","14,552,052.00"
2022/08/29,"5,500","5,555","5,474","5,496","5,611.00","5,624.68","5,386.12","5,501.6292","14,502,100","11,231,120.00","14,306,604.00"
2022/08/26,"5,748","5,814","5,697","5,705","5,659.60","5,624.12","5,372.72","5,745.5103","11,878,400","10,096,620.00","14,064,952.00"
2022/08/25,"5,646","5,679","5,628","5,638","5,671.40","5,616.20","5,361.76","5,650.0814","7,837,600","10,054,460.00","13,983,480.00"
2022/08/24,"5,585","5,664","5,574","5,616","5,706.80","5,610.68","5,351.92","5,623.3286","9,354,500","10,723,400.00","14,139,380.00"
2022/08/23,"5,647","5,673","5,571","5,600","5,744.00","5,600.88","5,343.56","5,602.7142","12,583,000","11,910,160.00","14,161,996.00"
2022/08/22,"5,696","5,758","5,688","5,739","5,773.80","5,588.72","5,337.82","5,729.1252","8,829,600","13,739,680.00","14,135,824.00"
2022/08/19,"5,829","5,840","5,744","5,764","5,806.00","5,574.56","5,331.84","5,786.8136","11,667,600","16,985,560.00","14,215,828.00"
2022/08/18,"5,740","5,844","5,725","5,815","5,775.20","5,557.52","5,325.24","5,795.1573","11,182,300","20,746,420.00","14,208,872.00"
2022/08/17,"5,783","5,832","5,730","5,802","5,675.20","5,533.44","5,316.80","5,795.0773","15,288,300","21,845,440.00","14,274,996.00"
2022/08/16,"5,899","5,900","5,741","5,749","5,573.80","5,519.20","5,308.70","5,808.5307","21,730,600","25,060,980.00","14,243,228.00"
2022/08/15,"5,651","5,929","5,638","5,900","5,563.00","5,505.24","5,298.57","5,839.2916","25,059,000","22,952,940.00","14,055,528.00"
2022/08/12,"5,509","5,727","5,455","5,610","5,513.60","5,484.76","5,292.05","5,616.1406","30,471,900","20,009,100.00","13,547,360.00"
2022/08/10,"5,210","5,365","5,188","5,315","5,519.60","5,474.08","5,291.64","5,297.4576","16,677,400","16,074,800.00","12,805,880.00"
2022/08/09,"5,595","5,595","5,236","5,295","5,555.80","5,476.60","5,295.80","5,392.3341","31,366,000","14,743,500.00","12,656,312.00"
2022/08/08,"5,607","5,768","5,585","5,695","5,586.80","5,476.12","5,299.16","5,692.1689","11,190,400","10,702,040.00","11,912,808.00"
2022/08/05,"5,678","5,690","5,587","5,653","5,548.60","5,453.56","5,298.60","5,644.3801","10,339,800","11,141,020.00","12,025,080.00"
2022/08/04,"5,577","5,640","5,573","5,640","5,539.00","5,436.84","5,299.12","5,618.5090","10,800,400","11,608,500.00","12,135,036.00"
2022/08/03,"5,548","5,578","5,490","5,496","5,542.20","5,424.24","5,300.74","5,524.2303","10,020,900","11,972,160.00","12,286,180.00"
2022/08/02,"5,461","5,523","5,407","5,450","5,580.60","5,420.96","5,302.02","5,463.8214","11,158,700","12,163,700.00","12,379,832.00"
2022/08/01,"5,425","5,539","5,383","5,504","5,626.80","5,419.68","5,302.45","5,473.0550","13,385,300","13,740,920.00","12,585,672.00"
2022/07/29,"5,672","5,763","5,567","5,605","5,627.00","5,408.48","5,302.80","5,650.7561","12,677,200","12,468,260.00","12,613,636.00"
2022/07/28,"5,751","5,810","5,641","5,656","5,602.40","5,388.40","5,303.84","5,708.8088","12,618,700","11,624,980.00","12,677,756.00"
2022/07/27,"5,646","5,700","5,585","5,688","5,572.60","5,363.16","5,303.81","5,648.5275","10,978,600","11,069,560.00","12,767,220.00"
2022/07/26,"5,497","5,740","5,490","5,681","5,535.00","5,338.64","5,304.89","5,656.6570","19,044,800","11,220,860.00","12,913,020.00"
2022/07/25,"5,420","5,514","5,417","5,505","5,473.00","5,308.72","5,308.29","5,482.9242","7,022,000","9,395,880.00","12,887,888.00"
2022/07/22,"5,503","5,522","5,469","5,482","5,431.20","5,280.04","5,312.02","5,495.4468","8,460,800","10,377,220.00","13,859,052.00"
2022/07/21,"5,500","5,540","5,460","5,507","5,411.80","5,260.76","5,313.30","5,504.3102","9,841,600","10,851,000.00","14,212,092.00"
2022/07/20,"5,490","5,542","5,451","5,500","5,378.00","5,241.60","5,314.00","5,500.9825","11,735,100","11,181,420.00","14,551,776.00"
2022/07/19,"5,348","5,376","5,268","5,371","5,320.60","5,222.92","5,315.76","5,338.4984","9,919,900","11,401,480.00","14,901,316.00"
2022/07/15,"5,361","5,430","5,268","5,296","5,335.60","5,214.68","5,317.53","5,317.4906","11,928,700","12,316,320.00","15,282,084.00"
2022/07/14,"5,290","5,438","5,273","5,385","5,356.40","5,224.64","5,318.94","5,374.2312","10,829,700","13,338,200.00","15,465,872.00"
2022/07/13,"5,260","5,354","5,244","5,338","5,357.00","5,235.60","5,319.17","5,305.4009","11,493,700","13,643,220.00","15,866,420.00"
2022/07/12,"5,310","5,320","5,193","5,213","5,358.00","5,244.60","5,321.30","5,241.0742","12,835,400","13,731,460.00","15,991,184.00"
2022/07/11,"5,500","5,600","5,428","5,446","5,391.00","5,253.28","5,324.08","5,514.4114","14,494,100","13,752,020.00","16,023,752.00"
2022/07/08,"5,421","5,525","5,395","5,400","5,358.40","5,251.08","5,318.88","5,446.1220","17,038,100","13,408,880.00","15,857,304.00"
2022/07/07,"5,363","5,437","5,324","5,388","5,304.60","5,251.80","5,313.02","5,378.3724","12,354,800","12,800,700.00","15,806,896.00"
2022/07/06,"5,373","5,438","5,338","5,343","5,274.00","5,248.36","5,304.98","5,383.0508","11,934,900","12,947,480.00","15,750,900.00"
2022/07/05,"5,350","5,440","5,322","5,378","5,270.40","5,246.64","5,294.00","5,382.8763","12,938,200","13,476,300.00","15,785,424.00"
2022/07/04,"5,225","5,347","5,208","5,283","5,277.60","5,246.68","5,279.16","5,287.4550","12,778,400","13,361,100.00","15,880,016.00"
2022/07/01,"5,235","5,296","5,115","5,131","5,304.60","5,249.68","5,268.05","5,189.8514","13,997,200","14,066,360.00","16,003,380.00"
2022/06/30,"5,322","5,350","5,221","5,235","5,323.20","5,258.08","5,259.41","5,274.5074","13,088,700","14,083,800.00","16,178,440.00"
2022/06/29,"5,340","5,357","5,283","5,325","5,296.80","5,255.24","5,253.34","5,322.1605","14,579,000","14,322,100.00","16,271,936.00"
2022/06/28,"5,358","5,466","5,348","5,414","5,236.80","5,246.32","5,244.16","5,402.7777","12,362,200","14,377,360.00","16,278,752.00"
2022/06/27,"5,291","5,427","5,234","5,418","5,169.00","5,237.40","5,231.62","5,342.1964","16,304,700","14,829,640.00","16,424,036.00"
2022/06/24,"5,145","5,249","5,107","5,224","5,072.00","5,231.72","5,222.14","5,186.9837","14,084,400","15,252,000.00","16,489,356.00"
2022/06/23,"5,049","5,145","5,030","5,103","4,984.80","5,232.04","5,218.66","5,084.5807","14,280,200","18,695,340.00","16,675,400.00"
2022/06/22,"5,097","5,123","5,025","5,025","4,964.20","5,230.12","5,220.12","5,070.3057","14,855,300","19,296,660.00","17,011,988.00"
2022/06/21,"5,025","5,126","4,978","5,075","4,964.80","5,234.60","5,223.33","5,068.3909","14,623,600","19,992,340.00","17,229,328.00"
2022/06/20,"4,867","4,975","4,826","4,933","4,956.40","5,236.48","5,225.42","4,913.2930","18,416,500","21,162,340.00","17,348,872.00"
2022/06/17,"4,803","4,860","4,708","4,788","5,002.80","5,243.56","5,227.98","4,790.1347","31,301,100","21,366,860.00","17,650,520.00"
2022/06/16,"5,126","5,180","4,997","5,000","5,154.20","5,253.64","5,231.73","5,079.7403","17,286,800","18,411,320.00","18,268,800.00"
2022/06/15,"5,046","5,127","4,975","5,028","5,286.00","5,233.28","5,229.09","5,042.4168","18,333,700","19,122,640.00","18,523,004.00"
2022/06/14,"4,895","5,046","4,866","5,033","5,393.00","5,227.48","5,230.77","4,982.3070","20,473,600","18,378,460.00","18,448,512.00"
2022/06/13,"5,322","5,353","5,165","5,165","5,472.40","5,222.16","5,232.46","5,239.4074","19,439,100","17,013,660.00","18,354,888.00"
2022/06/10,"5,585","5,585","5,470","5,545","5,517.60","5,215.12","5,232.72","5,529.2523","16,523,400","15,192,420.00","18,108,064.00"
2022/06/09,"5,699","5,849","5,650","5,659","5,492.20","5,200.12","5,227.01","5,722.5434","20,843,400","15,043,320.00","18,031,708.00"
2022/06/08,"5,480","5,587","5,437","5,563","5,420.80","5,185.36","5,221.37","5,526.9548","14,612,800","13,065,620.00","17,709,892.00"
2022/06/07,"5,483","5,516","5,418","5,430","5,368.20","5,173.60","5,215.97","5,472.2178","13,649,600","12,702,660.00","17,716,460.00"
2022/06/06,"5,359","5,411","5,318","5,391","5,358.00","5,163.68","5,213.81","5,367.3425","10,332,900","13,033,340.00","18,028,528.00"
2022/06/03,"5,400","5,484","5,381","5,418","5,351.40","5,155.84","5,215.04","5,431.7209","15,777,900","14,139,260.00","18,462,868.00"
2022/06/02,"5,224","5,325","5,217","5,302","5,336.00","5,138.68","5,217.62","5,283.9507","10,954,900","14,658,420.00","18,837,312.00"
2022/06/01,"5,389","5,410","5,280","5,300","5,308.40","5,143.04","5,217.62","5,342.0710","12,798,000","15,552,660.00","18,896,104.00"
2022/05/31,"5,382","5,414","5,293","5,379","5,268.80","5,154.20","5,218.29","5,363.5505","15,303,000","15,942,940.00","18,804,772.00"
2022/05/30,"5,417","5,423","5,315","5,358","5,231.20","5,164.12","5,216.09","5,363.1527","15,862,500","16,081,200.00","18,648,744.00"
2022/05/27,"5,399","5,484","5,331","5,341","5,214.80","5,171.68","5,213.92","5,398.8472","18,373,700","16,496,240.00","18,577,868.00"
2022/05/26,"5,136","5,239","5,134","5,164","5,193.00","5,184.16","5,212.05","5,184.8309","15,426,100","16,568,600.00","18,205,548.00"
2022/05/25,"5,191","5,191","5,077","5,102","5,171.20","5,205.28","5,210.76","5,132.8433","14,749,400","18,022,360.00","18,027,344.00"
2022/05/24,"5,276","5,299","5,136","5,191","5,178.20","5,231.68","5,209.54","5,202.1616","15,994,300","19,130,240.00","17,914,204.00"
2022/05/23,"5,321","5,344","5,210","5,276","5,164.40","5,247.72","5,204.26","5,272.1349","17,937,700","19,453,820.00","17,799,792.00"
2022/05/20,"5,121","5,249","5,080","5,232","5,131.20","5,255.96","5,196.48","5,184.4024","18,735,500","21,057,820.00","17,725,204.00"
2022/05/19,"4,937","5,080","4,867","5,055","5,092.80","5,267.88","5,195.46","5,004.7149","22,694,900","26,662,340.00","17,589,200.00"
2022/05/18,"5,178","5,277","5,082","5,137","4,980.00","5,293.00","5,195.65","5,170.7898","20,288,800","26,851,740.00","17,277,724.00"
2022/05/17,"4,985","5,146","4,983","5,122","4,929.20","5,313.68","5,198.56","5,088.4968","17,612,200","26,088,260.00","17,016,824.00"
2022/05/16,"5,040","5,200","4,962","5,110","4,884.80","5,339.56","5,203.42","5,111.6682","25,957,700","26,192,420.00","17,023,472.00"
2022/05/13,"4,526","5,049","4,514","5,040","4,860.60","5,372.60","5,208.98","4,886.1517","46,758,100","23,654,580.00","16,754,232.00"
2022/05/12,"4,675","4,680","4,491","4,491","4,886.60","5,402.40","5,213.94","4,571.5628","23,641,900","17,225,860.00","15,558,900.00"
2022/05/11,"4,850","4,923","4,781","4,883","5,046.40","5,445.88","5,227.50","4,861.0271","16,471,400","15,057,080.00","15,229,168.00"
2022/05/10,"4,864","4,929","4,721","4,900","5,123.60","5,472.92","5,236.13","4,821.3094","18,133,000","14,718,200.00","15,292,472.00"
2022/05/09,"5,054","5,077","4,980","4,989","5,180.00","5,502.20","5,244.09","5,013.1323","13,268,500","15,381,860.00","15,183,184.00"
2022/05/06,"5,114","5,213","5,102","5,170","5,221.20","5,522.80","5,251.78","5,164.3490","14,614,500","16,966,440.00","15,136,524.00"
2022/05/02,"5,357","5,401","5,242","5,290","5,185.00","5,532.08","5,258.62","5,312.8600","12,798,000","19,071,340.00","15,058,816.00"
2022/04/28,"5,202","5,291","5,167","5,269","5,209.20","5,536.56","5,259.56","5,236.9458","14,777,000","18,996,680.00","15,177,496.00"
2022/04/27,"4,989","5,189","4,960","5,182","5,271.20","5,545.72","5,262.49","5,083.7692","21,451,300","18,144,220.00","15,502,676.00"
2022/04/26,"5,093","5,267","5,048","5,195","5,360.20","5,555.28","5,265.02","5,185.8692","21,191,400","16,134,420.00","15,772,504.00"
2022/04/25,"5,201","5,203","4,964","4,989","5,430.60","5,549.72","5,268.02","5,068.2809","25,139,000","14,714,260.00","15,790,944.00"
2022/04/22,"5,430","5,472","5,358","5,411","5,563.40","5,548.60","5,274.60","5,403.0718","12,424,700","11,499,600.00","15,918,768.00"
2022/04/21,"5,574","5,644","5,551","5,579","5,619.60","5,523.56","5,274.90","5,594.2162","10,514,700","11,208,860.00","16,995,528.00"
2022/04/20,"5,558","5,655","5,518","5,627","5,656.20","5,481.16","5,271.93","5,618.5931","11,402,300","11,490,100.00","18,174,732.00"
2022/04/19,"5,698","5,719","5,523","5,547","5,649.20","5,426.68","5,267.01","5,588.8124","14,090,600","11,836,440.00","18,822,756.00"
2022/04/18,"5,616","5,656","5,600","5,653","5,636.20","5,382.80","5,262.65","5,632.8759","9,065,700","12,232,920.00","19,043,480.00"
2022/04/15,"5,623","5,723","5,585","5,692","5,611.60","5,336.00","5,259.00","5,665.3136","10,971,000","13,486,860.00","19,701,668.00"
2022/04/14,"5,692","5,774","5,672","5,762","5,609.80","5,299.52","5,255.25","5,739.1346","11,920,900","14,274,260.00","20,012,404.00"
2022/04/13,"5,499","5,638","5,466","5,592","5,588.20","5,254.48","5,250.29","5,566.0710","13,134,000","14,643,340.00","20,554,792.00"
2022/04/12,"5,481","5,559","5,427","5,482","5,623.60","5,209.76","5,247.77","5,482.1182","16,073,000","15,572,220.00","21,000,996.00"
2022/04/11,"5,654","5,729","5,521","5,530","5,714.40","5,178.76","5,245.93","5,604.0534","15,335,400","16,202,960.00","21,120,756.00"
2022/04/08,"5,702","5,742","5,625","5,683","5,765.40","5,156.08","5,245.28","5,675.9992","14,908,000","16,510,840.00","21,285,644.00"
2022/04/07,"5,600","5,670","5,591","5,654","5,744.40","5,137.24","5,244.74","5,635.0959","13,766,300","16,608,960.00","21,176,100.00"
2022/04/06,"5,810","5,847","5,727","5,769","5,725.40","5,121.72","5,244.29","5,776.7683","17,778,400","17,466,500.00","21,149,480.00"
2022/04/05,"5,899","5,984","5,834","5,936","5,698.00","5,100.24","5,241.00","5,923.3365","19,226,700","16,990,980.00","21,024,912.00"
2022/04/04,"5,650","5,794","5,640","5,785","5,611.60","5,067.80","5,236.13","5,750.7732","16,874,800","15,566,040.00","20,946,572.00"
2022/04/01,"5,441","5,609","5,387","5,578","5,535.00","5,039.16","5,232.57","5,518.5681","15,398,600","14,725,440.00","21,075,252.00"
2022/03/31,"5,595","5,750","5,542","5,559","5,499.80","5,008.12","5,232.21","5,634.2584","18,054,000","14,798,720.00","21,530,460.00"
2022/03/30,"5,559","5,633","5,531","5,632","5,487.60","4,991.92","5,231.33","5,593.3864","15,400,800","15,769,220.00","21,423,092.00"
2022/03/29,"5,488","5,555","5,433","5,504","5,445.40","4,973.04","5,229.68","5,487.0740","12,102,000","18,328,460.00","21,259,484.00"
2022/03/28,"5,393","5,421","5,280","5,402","5,355.80","4,960.24","5,224.33","5,361.0594","12,671,800","20,238,540.00","21,390,576.00"
2022/03/25,"5,514","5,524","5,342","5,402","5,267.60","4,948.84","5,226.42","5,411.8000","15,765,000","23,371,100.00","21,380,240.00"
2022/03/24,"5,321","5,524","5,320","5,498","5,144.20","4,942.20","5,229.05","5,446.6716","22,906,500","28,086,840.00","21,118,152.00"
2022/03/23,"5,256","5,525","5,248","5,421","4,948.40","4,928.60","5,234.41","5,417.5526","28,197,000","31,504,500.00","20,701,780.00"
2022/03/22,"4,956","5,069","4,908","5,056","4,717.20","4,922.48","5,242.53","5,018.4128","21,652,400","31,385,680.00","20,099,688.00"
2022/03/18,"4,768","4,972","4,700","4,961","4,596.00","4,939.56","5,257.89","4,898.3069","28,334,600","30,976,940.00","20,360,108.00"
2022/03/17,"4,869","4,964","4,746","4,785","4,500.40","4,965.60","5,276.22","4,849.4538","39,343,700","30,414,100.00","20,459,560.00"
2022/03/16,"4,318","4,548","4,231","4,519","4,499.40","4,986.28","5,301.53","4,357.9773","39,994,800","26,293,240.00","19,606,976.00"
2022/03/15,"4,330","4,388","4,210","4,265","4,522.80","5,019.52","5,329.22","4,299.6347","27,602,900","23,390,400.00","18,905,764.00"
2022/03/14,"4,398","4,566","4,390","4,450","4,564.60","5,057.48","5,363.32","4,481.8727","19,608,700","22,727,640.00","18,484,144.00"
2022/03/11,"4,622","4,668","4,424","4,483","4,616.00","5,087.28","5,395.40","4,518.0967","25,520,400","22,619,300.00","18,294,460.00"
2022/03/10,"4,840","4,843","4,751","4,780","4,712.00","5,116.00","5,428.77","4,791.1219","18,739,400","21,406,740.00","17,785,528.00"
2022/03/09,"4,487","4,830","4,487","4,636","4,798.40","5,127.48","5,460.13","4,691.3737","25,480,600","20,092,740.00","17,714,996.00"
2022/03/08,"4,630","4,713","4,459","4,474","4,924.40","5,142.48","5,493.16","4,577.0298","24,289,100","17,616,780.00","17,629,920.00"
2022/03/07,"4,806","4,845","4,670","4,707","5,076.00","5,155.32","5,526.84","4,721.7110","19,067,000","15,691,800.00","17,843,852.00"
2022/03/04,"5,113","5,145","4,923","4,963","5,159.60","5,154.72","5,555.37","4,994.7824","19,457,600","15,332,040.00","18,602,004.00"
2022/03/03,"5,298","5,299","5,195","5,212","5,180.80","5,162.44","5,578.20","5,232.6468","12,169,400","15,458,880.00","18,687,628.00"
2022/03/02,"5,180","5,298","5,172","5,266","5,098.80","5,156.72","5,596.09","5,231.8321","13,100,800","18,380,760.00","19,028,952.00"
2022/03/01,"5,191","5,326","5,183","5,232","5,076.40","5,160.28","5,616.65","5,262.6440","14,664,200","18,834,560.00","19,094,236.00"
2022/02/28,"4,996","5,138","4,961","5,125","5,062.00","5,170.48","5,629.04","5,066.0812","17,268,200","18,163,840.00","19,092,152.00"
2022/02/25,"4,951","5,108","4,944","5,069","5,073.80","5,186.56","5,643.49","5,047.8609","20,091,800","17,786,060.00","19,034,172.00"
2022/02/24,"5,099","5,125","4,764","4,802","5,083.40","5,200.28","5,658.97","4,902.7897","26,778,800","16,250,380.00","18,772,584.00"
2022/02/22,"5,062","5,184","5,031","5,154","5,170.20","5,228.52","5,679.16","5,105.5313","15,369,800","12,737,180.00","18,254,328.00"
2022/02/21,"5,084","5,194","5,052","5,160","5,171.00","5,243.56","5,694.82","5,134.8455","11,310,600","12,162,660.00","18,091,768.00"
2022/02/18,"5,002","5,199","4,988","5,184","5,192.60","5,257.04","5,708.21","5,111.3504","15,379,300","12,529,480.00","18,272,632.00"
2022/02/17,"5,232","5,234","5,085","5,117","5,252.40","5,272.32","5,720.58","5,166.3314","12,413,400","15,086,200.00","18,296,788.00"
2022/02/16,"5,299","5,309","5,226","5,236","5,351.40","5,294.96","5,736.10","5,253.6045","9,212,800","18,767,700.00","18,769,632.00"
2022/02/15,"5,230","5,277","5,143","5,158","5,364.60","5,299.92","5,752.96","5,192.3670","12,497,200","20,530,960.00","18,990,088.00"
2022/02/14,"5,283","5,330","5,237","5,268","5,403.00","5,313.16","5,769.34","5,270.9255","13,144,700","22,524,420.00","19,311,892.00"
2022/02/10,"5,712","5,739","5,406","5,483","5,392.20","5,317.32","5,787.24","5,532.7680","28,162,900","23,307,960.00","19,430,724.00"
2022/02/09,"5,350","5,628","5,310","5,612","5,334.60","5,314.80","5,801.78","5,521.3064","30,820,900","20,648,700.00","18,767,468.00"
2022/02/08,"5,364","5,406","5,263","5,302","5,252.40","5,309.60","5,816.45","5,349.9143","18,029,100","17,043,940.00","18,098,716.00"
2022/02/07,"5,237","5,494","5,221","5,350","5,205.40","5,314.88","5,831.48","5,374.8077","22,464,500","16,833,340.00","17,948,140.00"
2022/02/04,"5,150","5,234","5,091","5,214","5,137.60","5,315.12","5,843.32","5,163.7153","17,062,400","17,011,180.00","17,543,576.00"
2022/02/03,"5,090","5,252","5,086","5,195","5,053.80","5,316.88","5,857.66","5,191.6833","14,866,600","19,526,180.00","17,342,728.00"
2022/02/02,"5,124","5,219","5,107","5,201","4,953.20","5,317.88","5,871.76","5,176.2159","12,797,100","24,157,020.00","17,214,488.00"
2022/02/01,"5,133","5,218","5,022","5,067","4,944.20","5,325.00","5,885.00","5,090.4903","16,976,100","25,917,240.00","16,975,308.00"
2022/01/31,"4,710","5,119","4,693","5,011","4,944.60","5,338.76","5,900.92","4,962.0750","23,353,700","26,662,520.00","16,715,068.00"
2022/01/28,"4,750","4,875","4,584","4,795","5,013.40","5,353.92","5,919.65","4,746.9189","29,637,400","24,938,360.00","16,280,652.00"
2022/01/27,"5,121","5,170","4,652","4,692","5,151.80","5,378.24","5,937.29","4,816.8852","38,020,800","21,933,300.00","15,546,056.00"
2022/01/26,"4,969","5,259","4,944","5,156","5,318.80","5,404.32","5,954.05","5,145.6369","21,598,200","17,492,880.00","14,652,908.00"
2022/01/25,"5,300","5,313","5,008","5,069","5,370.00","5,417.32","5,964.00","5,137.2606","20,702,500","15,883,660.00","14,380,196.00"
2022/01/24,"5,392","5,415","5,297","5,355","5,457.80","5,440.28","5,976.77","5,343.4319","14,732,900","14,507,640.00","14,172,204.00"
2022/01/21,"5,431","5,502","5,388","5,487","5,492.80","5,450.88","5,988.92","5,442.3377","14,612,100","13,822,220.00","14,202,320.00"
